Event, optional label	Event label	Location	Station info	Latitude	Longitude	Elevation	Date/Time start	Date/Time end	Comment	URI of event
Cabauw	CAB	The Netherlands		51.9680	4.9280	0.0	2005-12-01		BSRN station no: 53; Surface type: grass; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669511; Station scientist: Wouter Knap (knap@knmi.nl); Coordinates changed from lat: 51.9711 long: 4.9267 to current lat/long on 2022-12-01	http://www.knmi.nl/bsrn/
Camborne	CAM	United Kingdom	https://hdl.handle.net/10013/epic.47488.d001	50.2167	-5.3167	88.0	2001-01-01		BSRN station no: 50; Surface type: grass; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669512; Station scientist: Grant Hodgetts (grant.hodgetts@metoffice.gov.uk)	
Cape Baranova	CAP	Russia		79.2700	101.7500		2016-01-01		Station no: 15; Surface type: tundra; Topography type: flat, rural; Station scientist: Olga Sidorova (olsid@aari.ru)	http://www.aari.ru/main.php?lg=1&id=407
Carpentras	CAR	France		44.0830	5.0590	100.0	1996-08-01		BSRN station no: 10; Surface type: cultivated; Topography type: hilly, rural; Station scientist: Thierry Duprat (thierry.duprat@meteo.fr) ** Station closed in Dec 2018 **	
Chesapeake Light	CLH	North Atlantic Ocean		36.9050	-75.7130	37.0	2000-06-01	2016-11-16	BSRN station no: 39; Surface type: water, ocean; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669513; Station scientist: Fred M. Denn (Frederick.M.Denn@nasa.gov) and Bryan Fabbri (bryan.e.fabbri@nasa.gov) ** Closed in Dec 2016, structural issues **	https://science.larc.nasa.gov/CRAVE/
Cener	CNR	Spain, Sarriguren, Navarra		42.8160	-1.6010	471.0	2009-07-01		BSRN station no: 45; Surface type: asphalt; Topography type: mountain valley, urban; Horizon: doi:10.1594/PANGAEA.972754; Station scientist: Xabier Olano (xolano@cener.com)	http://www.cener.com
Cocos Island	COC	Cocos (Keeling) Islands		-12.1930	96.8350	6.0	2004-09-14		BSRN station no: 47; Surface type: grass; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.947049; Station scientist: Matt Tully (m.tully@bom.gov.au)	
De Aar	DAA	South Africa		-30.6667	23.9930	1287.0	2000-05-01		BSRN station no: 40; Surface type: sand; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669514; Station scientist: Katlego Ncongwane (Katlego.Ncongwane@weathersa.co.za)	
Darwin	DAR	Australia		-12.4250	130.8910	30.0	2002-06-01	2015-01-31	BSRN station no: 2; Surface type: grass; Topography type: flat, rural; Latest station scientist: Charles Long. ** Station closed January 2015 **	
Concordia Station, Dome C	DOM	Antarctica		-75.1000	123.3830	3233.0	2006-01-01		BSRN station no: 74; Surface type: glacier, accumulation area; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.947046; Station scientist: Angelo Lupi (a.lupi@isac.cnr.it)	https://institut-polaire.fr/antarctica/concordia-station/
Desert Rock	DRA	Nevada, United States of America		36.6260	-116.0180	1007.0	1998-02-01		BSRN station no: 35; Surface type: desert, gravel; Topography type: flat, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)	http://www.srrb.noaa.gov/surfrad/desrock.html
Darwin Met Office	DWN	Australia		-12.4240	130.8925	32.0	2008-04-01		BSRN station no: 65; Surface type: grass; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.947048; Station scientist: Matt Tully (m.tully@bom.gov.au)	
Southern Great Plains	E13	Oklahoma, United States of America		36.6050	-97.4850	318.0	1997-08-01		BSRN station no: 27; Surface type: grass; Topography type: flat, rural; Station scientist: Laura Riihimaki (laura.riihimaki@noaa.gov)	http://www.arm.gov/sites/sgp
Eastern North Atlantic	ENA	Azores		39.0911	-28.0292	15.2	2013-09-28		BSRN station no: 77; Surface Type: grass; Topography type: hilly/rural; Station scientist: Laura Riihimaki (laura.riihimaki@noaa.gov)	
Eureka	EUR	Ellesmere Island, Canadian Arctic Archipelago		79.9890	-85.9404	85.0	2007-09-01	2011-12-31	BSRN station no: 19; Surface type: tundra; Topography type: hilly, rural	https://en.wikipedia.org/wiki/Eureka,_Nunavut
Florianopolis	FLO	South Atlantic Ocean		-27.6047	-48.5227	11.0	1994-06-01		BSRN station no: 3; Surface type: concrete; Topography type: mountain valley, urban; Horizon: doi:10.1594/PANGAEA.669515; Station scientist: Alexandre K. da Silva (a.kupka@ufsc.br)	
Fort Peck	FPE	Montana, United States of America		48.3167	-105.1000	634.0	1995-01-01		BSRN station no: 31; Surface type: grass; Topography type: flat, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)	http://www.srrb.noaa.gov/surfrad/ftpeck.html
Fukuoka	FUA	Japan	http://hdl.handle.net/10013/epic.44630.d041, update 2022: https://download.pangaea.de/reference/115426/attachments/Fukuoka.pdf	33.5822	130.3764	3.0	2010-04-01		BSRN station no: 6; Surface type: asphalt; Topography type: flat, urban; Horizon from 2010 to 2014-12: doi:10.1594/PANGAEA.743875; Horizon after 2014-12: doi:10.1594/PANGAEA.845396; Station scientist: SASAKI Shun (rrc-jma@met.kishou.go.jp)	
Gandhinagar	GAN	India		23.1101	72.6276	65.0	2014-05-19		BSRN Candidate. Station no: 58; Surface type: shrub, Topography type: flat, urban; Horizon: doi:10.1594/PANGAEA.947039; Station scientist: Kadhirvel Boopathi (boopathi.niwe@nic.in)	
Goodwin Creek	GCR	Mississippi, United States of America		34.2547	-89.8729	98.0	1995-01-01		BSRN station no: 33; Surface type: grass; Topography type: hilly, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)	http://www.srrb.noaa.gov/surfrad/goodwin.html
Granite Island	GIM	Lake Superior, Michigan, United States		46.7210	-87.4110	195.0	2018-07-01		BSRN Station No. 78; Surface type: water, lake; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.931000; Station scientist: Bryan Fabbri (bryan.e.fabbri@nasa.gov), Fred Denn (frederick.m.denn@nasa.gov)	https://science.larc.nasa.gov/CRAVE/
Gobabeb	GOB	Namib Desert, Namibia		-23.5614	15.0420	407.0	2012-05-15		BSRN station no: 20; Surface Type: desert gravel; Topography type: flat rural; Horizon: doi:10.1594/PANGAEA.957581; Station scientist: Roland Vogt (Roland.Vogt@unibas.ch)	
Gurgaon	GUR	India		28.4249	77.1560	259.0	2014-04-21		BSRN Candidate. Station no: 56; Surface type: shrub, Topography type: flat, urban; Horizon: doi:10.1594/PANGAEA.947040; Station scientist: Kadhirvel Boopathi (boopathi.niwe@nic.in)	
Georg von Neumayer	GVN	Dronning Maud Land, Antarctica		-70.6500	-8.2500	42.0	1992-01-01		BSRN station no: 13; Surface type: iceshelf; Topography type: flat, rural; Horizon from 1992 to 2009-01: doi:10.1594/PANGAEA.669516; Horizon after 2009-01: doi:10.1594/PANGAEA.757811; Station scientist: Holger Schmithüsen (Holger.Schmithuesen@awi.de). Station description see hdl:10013/epic.28566.d001	http://www.awi.de/en/science/long-term-observations/atmosphere/antarctic-neumayer.html
Howrah	HOW	India		22.5535	88.3064	51.0	2014-06-15		BSRN Candidate. Station no: 57; Surface type: shrub, Topography type: flat, urban; Horizon: doi:10.1594/PANGAEA.947041; Station scientist: Kadhirvel Boopathi (boopathi.niwe@nic.in)	
Ilorin	ILO	Nigeria		8.5333	4.5667	350.0	1992-08-01	2005-07-31	BSRN station no: 38; Surface type: shrub; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669517; Latest station scientist: T O Aro. ** Inactive as of mid-2005, seeking funding **	
Magurele (MARS)	INO	Romania		44.3439	26.0123	110.0	2021-05-01		BSRN station no: 88; Surface type: cultivated; Topography type: flat, rural; Station scientist: Emil Carstea (emil.carstea@inoe.ro)	http://environment.inoe.ro/article/261/magurele-center-for-atmosphere-and-radiation-studies-mars
Ishigakijima	ISH	Japan	https://hdl.handle.net/10013/epic.44630.d026, update 2022: https://download.pangaea.de/reference/115427/attachments/Ishigakijima.pdf	24.3367	124.1644	5.7	2010-04-01		BSRN station no: 7; Surface type: asphalt; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.743878; Station scientist: SASAKI Shun (rrc-jma@met.kishou.go.jp)	
Izaña	IZA	Tenerife, Spain		28.3093	-16.4993	2372.9	2009-03-01		BSRN station no: 61; Surface type: rock; Topography type: mountain top, rural; Station scientist: Carlos J. Torres (ctorresg@aemet.es)	https://bsrn.aemet.es/
Kwajalein	KWA	North Pacific Ocean		8.7200	167.7310	10.0	1992-03-01		BSRN station no: 25; Surface type: water, ocean; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669518; Station scientist: Laura Riihimaki (laura.riihimaki@noaa.gov)	http://www.esrl.noaa.gov/gmd/grad/sites/kwa.html
Lauder	LAU	New Zealand		-45.0450	169.6890	350.0	1998-07-01		BSRN station no: 60; Surface type: grass; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669519; Station scientist: Matt Tully (m.tully@bom.gov.au)	http://gaw.empa.ch/gawsis/reports.asp?StationID=62
Lerwick	LER	Shetland Island, United Kingdom	https://hdl.handle.net/10013/epic.43134.d001	60.1389	-1.1847	80.0	2001-01-01		BSRN station no: 51; Surface type: grass; Topography type: hilly, rural; Horizon: doi:10.1594/PANGAEA.669520; Station scientist: Grant Hodgetts (grant.hodgetts@metoffice.gov.uk)	
Lindenberg	LIN	Germany		52.2100	14.1220	125.0	1994-09-01		BSRN station no: 12; Surface type: cultivated; Topography type: hilly, rural; Horizon: doi:10.1594/PANGAEA.669521; Station scientist: Stefan Wacker (Stefan.Wacker@dwd.de)	http://www.dwd.de/DE/forschung/atmosphaerenbeob/lindenbergersaeule/mol/mol_node.html
Lampedusa	LMP	Mediterranean		35.5180	12.6300	50.0	2023-12-01		BSRN station no: 90; Surface type: grass; Topography type: flat, rock; Horizon: doi:10.1594/PANGAEA.967181; Station scientist: Daniela Meloni (daniela.meloni@enea.it)	
Langley Research Center	LRC	Hampton, Virginia, USA		37.1038	-76.3872	7.0	2014-12-01		BSRN station no: 49; Surface type: grass; Topography type: flat, urban; Horizon: doi:10.1594/PANGAEA.842549; Station scientist: Fred M. Denn (Frederick.M.Denn@nasa.gov), Bryan Fabbri (bryan.e.fabbri@nasa.gov)	http://capable.larc.nasa.gov/
Lanyu Island	LYU	Taiwan		22.0370	121.5583	324.0	2018-12-01		BSRN station no: 79; Surface type: forest mixed; Topography type: mountain top, rural; Station scientist: Kun-Wei Lin (adenins@gmail.com)	
Momote	MAN	Papua New Guinea		-2.0580	147.4250	6.0	1996-09-01	2013-10-31	BSRN station no: 29; Surface type: grass; Topography type: flat, rural; Latest station scientist: Charles Long. ** Station closed late 2013 **	
Minamitorishima	MNM	Minami-Torishima	https://hdl.handle.net/10013/epic.44630.d003, update 2022: https://download.pangaea.de/reference/115428/attachments/Minamitorishima.pdf	24.2883	153.9833	7.1	2010-04-01		BSRN station no: 8; Surface type: water (ocean); Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.743879; Station scientist: SASAKI Shun (rrc-jma@met.kishou.go.jp)	
Nauru Island	NAU	Nauru		-0.5210	166.9167	7.0	1998-11-01	2013-09-30	BSRN station no: 30; Surface type: rock; Topography type: flat, rural; Latest station scientist: Charles Long. ** Station closed late 2013 **	
Newcastle	NEW	Australia		-32.8842	151.7289	18.5			BSRN Station no: 52; Surface type: grass; Topography type: hilly, urban; Horizon: doi:10.1594/PANGAEA.947043; Station scientist: Ben Duck (Benjamin.Duck@csiro.au)	
Ny-Ålesund	NYA	Ny-Ålesund, Spitsbergen		78.9227	11.9273	11.0	1992-08-01		BSRN station no: 11; Surface type: tundra; Topography type: mountain valley, rural; Horizon: doi:10.1594/PANGAEA.669522; Station scientist: Marion.Maturilli@awi.de	http://www.awi.de/en/infrastructure/stations/awipev_arctic_research_base/
Observatory of Huancayo	OHY	Peru		-12.0500	-75.3200	3314.0	2017-08-01		BSRN Station no: 80; Surface type: grass; Topography type: mountain valley, rural; Station scientist: Luis Suarez Salas (lsuarez@igp.gob.pe)	
Palaiseau, SIRTA Observatory	PAL	France		48.7130	2.2080	156.0	2003-05-01		BSRN station no: 63; Surface type: concrete; Topography type: flat, urban; Station scientist: Jordi Badosa (jordi.badosa@lmd.polytechnique.fr)	
Paramaribo	PAR	South America, Surinam		5.8060	-55.2146	4.0	2019-01-01		BSRN Station no: 66; Surface type: grass; Topography type: flat, urban; Horizon: doi:10.1594/PANGAEA.931001; Station scientist: Ankie Piters (piters@knmi.nl)	https://www.knmiprojects.nl/projects/paramaribo-atmospheric-observatory
Payerne	PAY	Switzerland		46.8123	6.9422	491.0	1992-09-01		BSRN station no: 21; Surface type: cultivated; Topography type: hilly, rural; Horizon: doi:10.1594/PANGAEA.947035; Station scientist: Laurent Vuilleumier (laurent.vuilleumier@meteoswiss.ch)	
Rock Springs	PSU	Pennsylvania, United States of America		40.7200	-77.9333	376.0	1998-05-01		BSRN station no: 36; Surface type: cultivated; Topography type: mountain valley, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)	https://gml.noaa.gov/grad/surfrad/pennstat.html
Petrolina	PTR	Brazil		-9.0690	-40.3200	387.0	2006-12-01		BSRN station no: 72; Surface type: concrete, since 2015: shrub; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.695900; Station scientist: Andre R. Goncalves (andre.goncalves@inpe.br)	
Regina	REG	Canada		50.2050	-104.7130	578.0	1995-01-01	2011-12-31	BSRN station no: 5; Surface type: cultivated; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669524; ** Station closed end of 2011 **	
Rolim de Moura	RLM	Brazil		-11.5820	-61.7730	252.0	2007-01-01	2007-12-31	BSRN station no: 73; Surface type: concrete; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.695901; Latest station scientist: Enio Bueno Pereira (enio.pereira@inpe.br). ** Station closed 2008 **	
Reunion Island, University	RUN	Reunion		-20.9014	55.4836	116.0			BSRN station no: 82. Surface type: concrete; Topography type: flat; Horizon: doi:10.1594/PANGAEA.930998; Station scientist: Béatrice Morel (beatrice.morel@univ-reunion.fr)	https://www.energylab.re/en/equipements/
Sapporo	SAP	Japan	https://hdl.handle.net/10013/epic.44630.d028	43.0600	141.3286	17.2	2010-04-01	2020-11-30	BSRN station no: 4; Surface type: asphalt; Topography type: flat, urban; Horizon: doi:10.1594/PANGAEA.743880; latest Station scientist: Nakashima, Kouichi; ** closed end of 2020 **	
Sede Boqer	SBO	Israel		30.8597	34.7794	500.0	2003-01-01		BSRN station no: 43; Surface type: desert rock; Topography type: hilly, rural; Station scientist: Dr. Nurit Agam (agam@bgu.ac.il). ** Station closed 2012 **	
Selegua, Mexico Solarimetric Station	SEL	Mexico		15.7840	-91.9902	602.0			BSRN Station No. 83; Surface type: grass; Topography type: flat, rural; Station scientist: Roberto Bonifaz (bonifaz@unam.mx)	
São Martinho da Serra	SMS	Brazil		-29.4428	-53.8231	489.0	2006-01-01		BSRN station no: 70; Surface type: concrete, since 2015: grass; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.693871; Station scientist: Andre R. Goncalves (andre.goncalves@inpe.br)	
Sonnblick	SON	Austria		47.0540	12.9577	3108.9	2013-01-01		BSRN station no: 75; Surface Type: rock; Topography type: mountain top, rural; Horizon: doi:10.1594/PANGAEA.808997; Station scientist: Marc Olefs (marc.olefs@geosphere.at)	http://www.sonnblick.net
Solar Village	SOV	Saudi Arabia		24.9100	46.4100	650.0	1998-08-01		BSRN station no: 41; Surface type: desert, sand; Topography type: flat, rural; ** Station closed/no longer maintained **	
South Pole	SPO	Antarctica		-89.9830	-24.7990	2800.0	1992-01-01		BSRN station no: 26; Surface type: glacier, accumulation area; Topography type: flat, rural; Station scientist: Laura Riihimaki (laura.riihimaki@noaa.gov)	http://www.esrl.noaa.gov/gmd/obop/spo/
Sioux Falls	SXF	South Dakota, United States of America		43.7300	-96.6200	473.0	2003-06-01		BSRN station no: 37; Surface type: grass; Topography type: hilly, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)	http://www.srrb.noaa.gov/surfrad/siouxfalls.html
Syowa	SYO	Cosmonauts Sea	https://epic.awi.de/id/eprint/47515/	-69.0053	39.5811	18.0	1994-01-01		BSRN station no: 17; Surface type: sea ice; Topography type: hilly, rural; Horizon: doi:10.1594/PANGAEA.669525, update 2017-01: doi:10.1594/PANGAEA.948519, update 2020-03: doi:10.1594/PANGAEA.948521 ; Station scientist: Yoshinobu Tanaka (antarctic@met.kishou.go.jp)	
Tamanrasset	TAM	Algeria		22.7903	5.5292	1385.0	2000-03-01		BSRN station no: 42; Surface type: desert, rock; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669526; Station scientist: Sidi BAIKA (s.baika@meteo.dz)	
Tateno	TAT	Japan	https://hdl.handle.net/10013/epic.44630.d027, update 2022: https://download.pangaea.de/reference/115429/attachments/Tateno.pdf	36.0581	140.1258	25.0	1996-02-01		BSRN station no: 16; Surface type: grass; Topography type: flat, urban; Horizon: doi:10.1594/PANGAEA.669527; Station scientist: Atsushi Saito (saito-atsushi@met.kishou.go.jp)	
Tiksi	TIK	Siberia, Russia		71.5862	128.9188	48.0	2010-06-08		BSRN station no: 48; Surface type: tundra; Topography type: flat, rural; Station scientist: Olga Sidorova (olsid@aari.ru)	http://www.aari.ru/main.php?lg=1&id=273
Tiruvallur	TIR	India		13.0923	79.9738	36.0	2014-04-16		BSRN Station no: 59; Surface type: rock, Topography type: flat, urban; Horizon: doi:10.1594/PANGAEA.947042; Station scientist: Kadhirvel Boopathi (boopathi.niwe@nic.in)	
Toravere	TOR	Estonia	Old lat/long (58.254°N, 26.462°E) not exact; this was corrected on 2023-01-12.	58.2641	26.4613	70.0	1999-01-01		BSRN station no: 9; Surface type: grass; Topography type: flat, rural; Horizon from 1999 to 2001-06: doi:10.1594/PANGAEA.671374; Horizon after 2001-06: doi:10.1594/PANGAEA.671373; Station scientist: Ingrid Niklus (ingrid.niklus@envir.ee).	
Xianghe	XIA	China		39.7540	116.9620	32.0	2005-01-01		BSRN station no: 44; Surface type: desert, rock; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669528; Station scientist: Xiangao Xia (xxa@mail.iap.ac.cn) ** Stopped being part of BSRN in 2016, station obstructed **	
Yushan	YUS	Taiwan		23.4876	120.9595	3858.0			BSRN Station no: 84; Surface type: forest, mixed; Topography type: mountain top, rural; Station scientist: Kun-Wei Lin (adenins@gmail.com)	
